T
100
,,Base:XYPlane1,,,Base:XYPlane2,,,Base:XYPlane3,,,Base:XYPlane4,,,Base:Zbase,,,OriginTest:O,,,OriginTest:X,,,OriginTest:Y,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
75,0,-559.867371,-91.122948,233.459122,-561.942200,-20.340731,233.806000,-633.479492,-23.707205,236.036163,-628.219971,-93.679672,235.522934,-616.457520,205.861053,34.108711,9.283696,10.215847,43.700283,202.443176,10.316421,36.624443,9.227377,236.522354,43.820393
76,0,-559.862305,-91.117508,233.471725,-561.938965,-20.337929,233.818649,-633.484863,-23.700991,236.048843,-628.214722,-93.674843,235.530914,-616.457886,205.864700,34.120594,9.284217,10.221353,43.711296,202.440308,10.325412,36.631451,9.228275,236.528229,43.832329
77,0,-559.874023,-91.115791,233.448303,-561.951294,-20.335300,233.793015,-633.500366,-23.696764,236.019516,-628.224182,-93.672951,235.511154,-616.469727,205.872482,34.086544,9.277688,10.233968,43.681358,202.435379,10.338989,36.597900,9.224215,236.545105,43.799362
78,0,-559.874390,-91.124321,233.441513,-561.945007,-20.342684,233.785461,-633.497253,-23.706676,236.010269,-628.221863,-93.680794,235.505539,-616.463989,205.861984,34.081577,9.278661,10.225718,43.677887,202.441620,10.329363,36.595768,9.227645,236.534485,43.795975
79,0,-559.867310,-91.122131,233.456909,-561.951538,-20.339586,233.800522,-633.494812,-23.706829,236.029510,-628.223083,-93.680519,235.519318,-616.464111,205.861771,34.102375,9.282756,10.216249,43.699406,202.441513,10.316069,36.623989,9.224280,236.525757,43.816040
80,0,-559.863525,-91.118568,233.469330,-561.939819,-20.340702,233.818817,-633.487549,-23.702644,236.043640,-628.216736,-93.674835,235.532501,-616.460938,205.864456,34.117813,9.284633,10.215543,43.720467,202.444061,10.315796,36.641155,9.226705,236.521286,43.835087
81,0,-559.881836,-91.114761,233.446762,-561.949951,-20.333658,233.793320,-633.499878,-23.695391,236.021103,-628.225220,-93.671333,235.512741,-616.459839,205.870651,34.095390,9.277352,10.232505,43.687225,202.436737,10.336573,36.604042,9.222564,236.545639,43.802052
82,0,-559.871582,-91.115494,233.436066,-561.942993,-20.336267,233.782532,-633.493713,-23.696943,236.008560,-628.219299,-93.672935,235.503326,-616.457153,205.867401,34.081581,9.281496,10.225028,43.676003,202.441772,10.331848,36.596424,9.228007,236.540070,43.794441
83,0,-559.869751,-91.117477,233.464310,-561.954041,-20.337860,233.804810,-633.490051,-23.704273,236.036392,-628.225464,-93.673904,235.524658,-616.464600,205.863937,34.104946,9.279653,10.219427,43.704247,202.440231,10.319135,36.629066,9.223519,236.527573,43.823685
84,0,-559.867676,-91.120338,233.462677,-561.947083,-20.338299,233.804535,-633.490906,-23.704151,236.035904,-628.220398,-93.678123,235.522369,-616.462097,205.861435,34.109398,9.280800,10.219545,43.708092,202.442154,10.319909,36.632702,9.223685,236.524323,43.828846
85,0,-559.874451,-91.117424,233.443909,-561.956604,-20.338221,233.783371,-633.500977,-23.701344,236.013840,-628.225342,-93.676468,235.509216,-616.468018,205.863144,34.083298,9.274812,10.231907,43.679382,202.434341,10.336942,36.597851,9.221088,236.545868,43.795059
86,0,-559.871582,-91.120651,233.439163,-561.945068,-20.338806,233.780243,-633.495422,-23.703392,236.007965,-628.223694,-93.675278,235.499985,-616.460510,205.865021,34.081676,9.281097,10.225944,43.672600,202.441238,10.330851,36.592926,9.226497,236.535309,43.791695
87,0,-559.869019,-91.120201,233.466568,-561.943298,-20.341663,233.810852,-633.480286,-23.704683,236.042206,-628.222046,-93.678810,235.527237,-616.463989,205.862167,34.113052,9.281305,10.218127,43.705750,202.443115,10.311774,36.635624,9.227522,236.521469,43.828705
88,0,-559.867859,-91.119171,233.462952,-561.945374,-20.338251,233.806412,-633.484863,-23.703026,236.035797,-628.223938,-93.675591,235.523529,-616.459167,205.863739,34.109009,9.282828,10.221172,43.704605,202.441528,10.322892,36.624104,9.227973,236.528610,43.824299
89,0,-559.873718,-91.119293,233.445511,-561.955139,-20.335613,233.788406,-633.501831,-23.700428,236.015549,-628.226196,-93.674263,235.505768,-616.466125,205.872086,34.082687,9.273428,10.234000,43.673233,202.435242,10.340508,36.594704,9.223469,236.547302,43.795380
90,0,-559.876770,-91.117645,233.439972,-561.951355,-20.339056,233.782913,-633.504089,-23.699585,236.013412,-628.225586,-93.678177,235.503632,-616.464355,205.866653,34.081905,9.277354,10.227672,43.677185,202.438446,10.332926,36.596039,9.224644,236.537827,43.797523
